freee Site Name Update Log - 2026-03-15 10:54:44
Total: 19 success, 0 fail

OK  recvdntexq01O7 | 日本アート_東海市分譲地 -> 日本アート_瑞浪市　分譲地撮影（UAV）
OK  recvdntexqJrpk | 揖斐川工業株式会社_名古屋埠頭 -> 揖斐川工業株式会社_名古屋埠頭様　３６０°動画撮影　附帯業務
OK  recvdkhGTgENMt | 2024年4月15日 支払通知書 ご送付 -> 東海工測_㈱奥村組　掛川市逆川　UAV三次元計測（土量計測）
OK  recvdntexqjOsc | 揖斐川工業株式会社_名古屋埠頭 -> 揖斐川工業株式会社_高高度海上空撮（静止画）
OK  recvdkhGTgSRyj | 6月5日ドローン撮影 御請求書につきまして -> 東海工測_土量計測
OK  recvdntexqCmnw | 山旺建設　株式会社　豊明支店_ロピア 半田店 -> 山旺建設_ロピア半田店　静止画空撮
OK  recvdntexqItIp | ダイシンコンサルタント(株)　田口_中津川　4箇所の河川 -> ダイシンコンサルタント_見積費用請求（3件分）
OK  recvdntexqJE4i | 大同マシナリー株式会社_大同特殊鋼(株) 星崎工場 3次元計測 -> 大同マシナリー株式会社_建屋　内外部　３次元計測
OK  recvdntexqpQlr | 柴田工業株式会社_穴太970 -> 柴田工業株式会社_UAV空撮　静止画　ダイジェット工業株式会社　三重事業所　工具工場
OK  recvdntexqq9Zk | 大同マシナリー株式会社_大同特殊鋼㈱ 星崎工場 -> 大同マシナリー株式会社_大同特殊鋼　星崎工場　3次元計測
OK  recvdntfcuLXMo | 柴田工業株式会社_小木南２丁目１９−1 -> 柴田工業株式会社_UAV空撮　静止画　ヒガシ２１
OK  recvdntfcuXbSZ | 柴田工業株式会社_丸岡町舛田２０−1-1 -> 柴田工業株式会社_UAV空撮　静止画　松川レピヤン 第3工場
OK  recvdntexqBfFw | 柴田工業株式会社_東貝塚1578 -> 柴田工業株式会社_UAV空撮　静止画　水菱プラスチック(株) 吉備工場
OK  recvdntfcuudho | 山旺建設　株式会社　豊明支店_杉国工業㈱ -> 山旺建設_杉国工業株式会社　本社工場　静止画空撮
OK  recvdkhGTg5m3p | 2025年8月15日 支払通知書のご送付 -> 東海工測_３次元データ測量
OK  recvdkhHrWcaRQ | 営業代行 -> 東海工測_UAV土量計測
OK  recvdntfcujXVy | 柴田工業株式会社_東貝塚1578 -> 柴田工業株式会社_UAV空撮　静止画　NTN磐田製作所 CVJ工場　他　近接３工場
OK  recvdplwNuY5hV | 株式会社和合コンサルタント_松阪・尾鷲・熊野建設事務所管内 3次元点群測量業務 -> 株式会社和合コンサルタント_松阪・尾鷲・熊野建設事務所管内 3次元点群測量業務　出来高請求（2026年1月分）
OK  recvdkhHrW6CoV | 昭和区広路町マンション眺望撮影　ロケハン・測量・RTK運用検証実施分 -> 空 小林_昭和区広路町マンション眺望撮影　ロケハン・測量・RTK運用検証実施分
