番号,一致タイプ,理由,A_record_id,A_正式名,A_略称,A_セグメント,A_ステータス,A_商談数,A_連絡先数,A_受注数,B_record_id,B_正式名,B_略称,B_セグメント,B_ステータス,B_商談数,B_連絡先数,B_受注数,統合推奨（残す側）
1,正規化一致,正規化後一致: 「ＫＩ開発 株式会社」≈「KI開発株式会社」,recvc6b2lclF6H,ＫＩ開発 株式会社,ＫＩ開発 株式会社,D,未接触,0,0,0,recvdnslEsMhVI,KI開発株式会社,KI開発株式会社,B,見込み,0,0,0,A
2,部分一致,「株式会社 東海コンサルタンツ」⊂「ジェイアール東海コンサルタンツ 株式会社」,recvc6b2lcaH4F,ジェイアール東海コンサルタンツ 株式会社,ジェイアール東海コンサルタンツ 株式会社,D,未接触,0,0,0,recvc6b2lcIYzE,株式会社 東海コンサルタンツ,株式会社 東海コンサルタンツ,D,未接触,0,0,0,A
3,部分一致,「株式会社 環境設計」⊂「株式会社 アルダー環境設計室」,recvc6b2lcuBWP,株式会社 アルダー環境設計室,株式会社 アルダー環境設計室,D,未接触,0,0,0,recvc6b2lclq98,株式会社 環境設計,株式会社 環境設計,D,未接触,0,0,0,A
4,部分一致,「株式会社 富士測量」⊂「株式会社 富士測量事務所」,recvc6b2lcXjpN,株式会社 富士測量,株式会社 富士測量,B,未接触,0,0,0,recvc6b2lc3aGs,株式会社 富士測量事務所,株式会社 富士測量事務所,B,未接触,0,0,0,A
5,部分一致,「株式会社平成建設」⊂「株式会社平成建設ドローンリサーチ」,recvdnskIgeuRy,株式会社平成建設,株式会社平成建設,B,見込み,1,1,0,recvdnskIg4Mip,株式会社平成建設ドローンリサーチ,株式会社平成建設ドローンリサーチ,B,見込み,1,1,0,A
6,部分一致,「名工建設」⊂「名工建設or鈴中工業」,recvdnskIgoE8l,名工建設,名工建設,A,見込み,3,1,1,recvdnslEsuwvY,名工建設or鈴中工業,名工建設or鈴中工業,A,見込み,1,0,0,A
7,部分一致,「鈴中工業」⊂「名工建設or鈴中工業」,recvdnslEsuwvY,名工建設or鈴中工業,名工建設or鈴中工業,A,見込み,1,0,0,recvdnslEs6baI,鈴中工業,鈴中工業,B,見込み,1,0,0,A
8,部分一致,「前田建設」⊂「前田建設工業株式会社」,recvdnslEs0k1m,前田建設,前田建設,A,見込み,1,0,0,recvdnslEso7Nm,前田建設工業株式会社,前田建設工業株式会社,A,見込み,1,0,1,B
9,部分一致,「五洋建設」⊂「五洋建設株式会社名古屋支店」,recvdnslEsejns,五洋建設,五洋建設,B,見込み,1,1,0,recvdnslEs9AWE,五洋建設株式会社名古屋支店,五洋建設株式会社名古屋支店,B,見込み,1,1,0,A
10,部分一致,「株式会社リョーケン」⊂「株式会社リョーケンホールディングス」,recvdnslEs43P2,株式会社リョーケン,株式会社リョーケン,B,見込み,1,0,0,recvdnslEsnSKO,株式会社リョーケンホールディングス,株式会社リョーケンホールディングス,B,見込み,0,0,0,A
11,部分一致,「加藤建設株式会社」⊂「加藤建設池田支店」,recvdnslEsRivh,加藤建設池田支店,加藤建設池田支店,B,見込み,0,0,0,recvdnslEsUV6y,加藤建設株式会社,加藤建設株式会社,B,見込み,0,0,0,A
